Region,Places reporting cases,Cases,Deaths,Confirmed cases in the last 15 days
Africa,Algeria,82,7,70
Africa,Cameroon,14,0,14
Africa,Congo,3,0,3
Africa,Egypt,210,6,208
Africa,Ethiopia,7,0,7
Africa,Gabon,3,0,3
Africa,Ghana,11,0,11
Africa,Guinea,1,0,1
Africa,Kenya,7,0,7
Africa,Mauritania,2,0,2
Africa,Morocco,63,2,62
Africa,Namibia,2,0,2
Africa,Nigeria,8,0,7
Africa,Rwanda,11,0,11
Africa,Senegal,36,0,33
Africa,Seychelles,6,0,6
Africa,Sudan,2,1,2
Africa,Togo,1,0,1
Africa,Tunisia,39,0,38
Africa,Eswatini,1,0,1
Africa,Benin,2,0,2
Africa,Liberia,2,0,2
Africa,Somalia,1,0,1
Africa,Burkina_Faso,33,1,33
Africa,Central_African_Republic,1,0,1
Africa,Cote_dIvoire,9,0,9
Africa,Democratic_Republic_of_the_Congo,14,0,14
Africa,Equatorial_Guinea,4,0,4
Africa,South_Africa,150,0,150
Africa,United_Republic_of_Tanzania,3,0,3
Africa,Gambia,1,0,1
Africa,Djibouti,1,0,1
Africa,Zambia,2,0,2
Africa,Chad,1,0,1
America,Argentina,128,3,127
America,Bahamas,3,0,3
America,Bolivia,15,0,15
America,Brazil,621,6,618
America,Canada,846,10,813
America,Chile,342,0,339
America,Colombia,128,0,128
America,Cuba,16,1,16
America,Ecuador,199,3,189
America,Guatemala,9,1,9
America,Guyana,5,1,5
America,Honduras,24,0,24
America,Jamaica,16,0,16
America,Mexico,164,0,159
America,Panama,137,1,137
America,Paraguay,13,0,13
America,Peru,234,2,234
America,Suriname,1,0,1
America,Uruguay,94,0,94
America,Venezuela,33,0,33
America,Antigua_and_Barbuda,1,0,1
America,Costa_Rica,87,1,87
America,Dominican_Republic,21,0,20
America,Saint_Lucia,2,0,2
America,Saint_Vincent_and_the_Grenadines,1,0,1
America,Trinidad_and_Tobago,9,0,9
America,United_States_of_America,14250,150,14091
America,Barbados,2,0,2
America,El_Salvador,1,0,1
America,Nicaragua,1,0,1
America,Bermuda,2,0,2
America,Cayman_Islands,1,0,1
America,Greenland,2,0,2
America,Haiti,2,0,2
America,Netherlands_Antilles,9,0,9
Asia,Afghanistan,22,0,21
Asia,Bahrain,269,1,217
Asia,Bangladesh,10,0,10
Asia,Bhutan,1,0,1
Asia,Cambodia,24,0,23
Asia,China,81337,3254,840
Asia,India,191,4,163
Asia,Indonesia,227,19,225
Asia,Iran,18407,1284,15485
Asia,Iraq,177,12,146
Asia,Israel,677,0,662
Asia,Japan,950,33,633
Asia,Jordan,56,0,55
Asia,Kazakhstan,49,0,49
Asia,Kuwait,148,0,92
Asia,Lebanon,149,4,136
Asia,Malaysia,900,2,850
Asia,Maldives,13,0,13
Asia,Mongolia,5,0,5
Asia,Nepal,1,0,0
Asia,Oman,39,0,24
Asia,Pakistan,478,2,473
Asia,Palestine,47,0,47
Asia,Philippines,230,18,227
Asia,Qatar,460,0,452
Asia,Singapore,345,0,233
Asia,Taiwan,108,1,66
Asia,Thailand,212,1,165
Asia,Uzbekistan,23,0,23
Asia,Vietnam,85,0,69
Asia,Myanmar,0,0,0
Asia,Brunei_Darussalam,73,0,73
Asia,Saudi_Arabia,238,0,237
Asia,South_Korea,8652,100,2886
Asia,Sri_Lanka,53,0,52
Asia,United_Arab_Emirates,140,0,113
Asia,Kyrgyzstan,6,0,6
Asia,Mauritius,3,0,3
Europe,Albania,70,2,70
Europe,Andorra,75,0,74
Europe,Armenia,122,0,121
Europe,Austria,2196,6,2167
Europe,Azerbaijan,44,0,41
Europe,Belarus,57,0,51
Europe,Belgium,1795,21,1772
Europe,Bulgaria,105,3,105
Europe,Croatia,104,1,95
Europe,Cyprus,58,0,58
Europe,Denmark,1151,6,1141
Europe,Estonia,267,0,265
Europe,Finland,400,0,393
Europe,France,10995,372,10710
Europe,Georgia,40,0,37
Europe,Germany,14138,43,13876
Europe,Greece,464,5,454
Europe,Hungary,85,1,83
Europe,Iceland,330,1,304
Europe,Ireland,557,3,551
Europe,Italy,41035,3407,37946
Europe,Kosovo,21,0,21
Europe,Latvia,86,0,85
Europe,Liechtenstein,25,0,24
Europe,Lithuania,48,0,47
Europe,Luxembourg,345,4,344
Europe,Malta,53,0,53
Europe,Moldova,49,1,49
Europe,Monaco,11,0,10
Europe,Netherlands,2460,76,2422
Europe,Norway,1552,6,1496
Europe,Poland,355,5,354
Europe,Portugal,785,3,780
Europe,Romania,277,0,273
Europe,Russia,199,0,195
Europe,Serbia,126,0,126
Europe,Slovakia,123,0,123
Europe,Slovenia,319,1,318
Europe,Spain,17147,767,16947
Europe,Sweden,1423,10,1388
Europe,Switzerland,3888,33,3831
Europe,Turkey,359,4,359
Europe,Ukraine,26,2,25
Europe,Bosnia_and_Herzegovina,44,0,44
Europe,Czech_Republic,694,0,686
Europe,Holy_See,13,0,13
Europe,North_Macedonia,48,0,47
Europe,San_Marino,126,14,111
Europe,United_Kingdom,3277,144,3192
Europe,Montenegro,13,0,13
Europe,Faroe_Islands,72,0,72
Europe,Gibraltar,10,0,10
Europe,Guernsey,1,0,1
Europe,Jersey,5,0,5
Oceania,Australia,709,6,657
Oceania,New_Zealand,39,0,36
Oceania,French_Polynesia,3,0,3
Oceania,Guam,15,0,15
Oceania,Fiji,1,0,1
Other,Cases_on_an_international_conveyance_Japan,696,7,0
